date,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,cnt
2011-01-01,springer,2011,1,0,Minggu,Libur,Mist + Cloudy,8.175849,7.99925,0.805833,0.160446,331,654,985
2011-01-02,springer,2011,1,0,Senin,Libur,Mist + Cloudy,9.083466000000001,7.3467740000000035,0.696087,0.248539,131,670,801
2011-01-03,springer,2011,1,0,Selasa,Kerja,Clear,1.229108,-3.499270000000001,0.437273,0.248309,120,1229,1349
2011-01-04,springer,2011,1,0,Rabu,Kerja,Clear,1.4000000000000004,-1.9999479999999998,0.590435,0.160296,108,1454,1562
2011-01-05,springer,2011,1,0,Kamis,Kerja,Clear,2.6669789999999995,-0.8681800000000006,0.436957,0.1869,82,1518,1600
2011-01-06,springer,2011,1,0,Jumat,Kerja,Clear,1.6043559999999992,-0.6082059999999991,0.518261,0.0895652,88,1518,1606
2011-01-07,springer,2011,1,0,Sabtu,Kerja,Mist + Cloudy,1.2365340000000007,-2.2166259999999998,0.498696,0.168726,148,1362,1510
2011-01-08,springer,2011,1,0,Minggu,Libur,Mist + Cloudy,-0.24499999999999922,-5.291236,0.535833,0.266804,68,891,959
2011-01-09,springer,2011,1,0,Senin,Libur,Clear,-1.4983489999999993,-8.33245,0.434167,0.36195,54,768,822
2011-01-10,springer,2011,1,0,Selasa,Kerja,Clear,-0.9108490000000007,-6.041392,0.482917,0.223267,41,1280,1321
2011-01-11,springer,2011,1,0,Rabu,Kerja,Mist + Cloudy,-0.0527230000000003,-3.3633760000000006,0.686364,0.122132,43,1220,1263
2011-01-12,springer,2011,1,0,Kamis,Kerja,Clear,0.11816899999999997,-5.408782,0.599545,0.304627,25,1137,1162
2011-01-13,springer,2011,1,0,Jumat,Kerja,Clear,-0.24499999999999922,-6.041722,0.470417,0.301,38,1368,1406
2011-01-14,springer,2011,1,0,Sabtu,Kerja,Clear,-0.43910999999999945,-3.5647420000000007,0.537826,0.126548,54,1367,1421
2011-01-15,springer,2011,1,0,Minggu,Libur,Mist + Cloudy,2.9666510000000006,0.3753920000000015,0.49875,0.157963,222,1026,1248
2011-01-16,springer,2011,1,0,Senin,Libur,Clear,2.888349,-0.5416779999999992,0.48375,0.188433,251,953,1204
2011-01-17,springer,2011,1,1,Selasa,Libur,Mist + Cloudy,0.264151,-4.333113999999998,0.5375,0.194017,117,883,1000
2011-01-18,springer,2011,1,0,Rabu,Kerja,Mist + Cloudy,2.1833489999999998,-0.6660219999999999,0.861667,0.146775,9,674,683
2011-01-19,springer,2011,1,0,Kamis,Kerja,Mist + Cloudy,5.732177999999999,3.695852000000002,0.741739,0.208317,78,1572,1650
2011-01-20,springer,2011,1,0,Jumat,Kerja,Mist + Cloudy,4.298349,0.8333000000000013,0.538333,0.195904,83,1844,1927
2011-01-21,springer,2011,1,0,Sabtu,Kerja,Clear,0.34249999999999936,-5.583022,0.457083,0.353242,75,1468,1543
2011-01-22,springer,2011,1,0,Minggu,Libur,Clear,-5.2208711999999995,-10.7814064,0.4,0.17197,93,888,981
2011-01-23,springer,2011,1,0,Senin,Libur,Clear,-3.4634801,-9.4766194,0.436522,0.2466,150,836,986
2011-01-24,springer,2011,1,0,Selasa,Kerja,Clear,-3.4226089,-8.21662,0.491739,0.15833,86,1330,1416
2011-01-25,springer,2011,1,0,Rabu,Kerja,Mist + Cloudy,2.5034660000000013,-0.5212839999999996,0.616957,0.129796,186,1799,1985
2011-01-26,springer,2011,1,0,Kamis,Kerja,Light Snow / Light Rain,2.2225,-2.5624000000000002,0.8625,0.29385,34,472,506
2011-01-27,springer,2011,1,0,Jumat,Kerja,Clear,1.165000000000001,-1.4998000000000005,0.6875,0.113837,15,416,431
2011-01-28,springer,2011,1,0,Sabtu,Kerja,Mist + Cloudy,1.563466,-1.2610780000000013,0.793043,0.1233,38,1129,1167
2011-01-29,springer,2011,1,0,Minggu,Libur,Clear,1.2365340000000007,-1.9996840000000002,0.651739,0.145365,123,975,1098
2011-01-30,springer,2011,1,0,Senin,Libur,Clear,2.176534,0.5212520000000005,0.722174,0.0739826,140,956,1096
2011-01-31,springer,2011,1,0,Selasa,Kerja,Mist + Cloudy,0.49915099999999946,-3.7074999999999996,0.60375,0.187192,42,1459,1501
2011-02-01,springer,2011,2,0,Rabu,Kerja,Mist + Cloudy,1.032178,-0.52102,0.829565,0.053213,47,1313,1360
2011-02-02,springer,2011,2,0,Kamis,Kerja,Mist + Cloudy,4.220000000000001,0.7915220000000005,0.775417,0.264308,72,1454,1526
2011-02-03,springer,2011,2,0,Jumat,Kerja,Clear,0.7869790000000005,-4.260052,0.437826,0.277752,61,1489,1550
2011-02-04,springer,2011,2,0,Sabtu,Kerja,Mist + Cloudy,1.9312880000000003,-0.913257999999999,0.585217,0.127839,88,1620,1708
2011-02-05,springer,2011,2,0,Minggu,Libur,Mist + Cloudy,2.9666510000000006,0.041827999999998866,0.929167,0.161079,100,905,1005
2011-02-06,springer,2011,2,0,Senin,Libur,Clear,5.434151,3.2502860000000027,0.568333,0.1418,354,1269,1623
2011-02-07,springer,2011,2,0,Selasa,Kerja,Clear,4.768348999999999,4.041428,0.738333,0.0454083,120,1592,1712
2011-02-08,springer,2011,2,0,Rabu,Kerja,Clear,2.3791510000000002,-2.9157639999999994,0.537917,0.36195,64,1466,1530
2011-02-09,springer,2011,2,0,Kamis,Kerja,Mist + Cloudy,-1.6651990000000003,-6.477322000000001,0.494783,0.188839,53,1552,1605
2011-02-10,springer,2011,2,0,Jumat,Kerja,Clear,-1.2156440000000002,-6.129832,0.437391,0.221935,47,1491,1538
2011-02-11,springer,2011,2,0,Sabtu,Kerja,Clear,0.887277000000001,-1.9084059999999994,0.506364,0.10855,149,1597,1746
2011-02-12,springer,2011,2,0,Minggu,Libur,Clear,2.4574999999999996,-0.6250359999999997,0.544167,0.203367,288,1184,1472
2011-02-13,springer,2011,2,0,Senin,Libur,Clear,6.876534000000001,5.391458,0.457391,0.260883,397,1192,1589
2011-02-14,springer,2011,2,0,Selasa,Kerja,Clear,11.504999999999999,10.2911,0.375833,0.417908,208,1705,1913
2011-02-15,springer,2011,2,0,Rabu,Kerja,Clear,4.506089000000001,0.7820840000000011,0.314348,0.291374,140,1675,1815
2011-02-16,springer,2011,2,0,Kamis,Kerja,Clear,6.958267000000001,4.869199999999999,0.423478,0.251791,218,1897,2115
2011-02-17,springer,2011,2,0,Jumat,Kerja,Clear,12.484151,12.291428,0.505,0.230104,259,2216,2475
2011-02-18,springer,2011,2,0,Sabtu,Kerja,Clear,16.518349,17.790878,0.516667,0.264925,579,2348,2927
2011-02-19,springer,2011,2,0,Minggu,Libur,Clear,10.760849,9.832663999999998,0.187917,0.507463,532,1103,1635
2011-02-20,springer,2011,2,0,Senin,Libur,Clear,5.405199,2.3037799999999997,0.407826,0.223235,639,1173,1812
2011-02-21,springer,2011,2,1,Selasa,Libur,Mist + Cloudy,6.2566510000000015,2.7489500000000007,0.605,0.307846,195,912,1107
2011-02-22,springer,2011,2,0,Rabu,Kerja,Clear,0.5644340000000003,-3.7218219999999995,0.577778,0.195683,74,1376,1450
2011-02-23,springer,2011,2,0,Kamis,Kerja,Clear,2.4217329999999997,0.21732199999999935,0.423043,0.094113,139,1778,1917
2011-02-24,springer,2011,2,0,Jumat,Kerja,Mist + Cloudy,5.895644000000001,3.0866059999999997,0.697391,0.250496,100,1707,1807
2011-02-25,springer,2011,2,0,Sabtu,Kerja,Mist + Cloudy,9.124355999999999,7.130426,0.712174,0.346539,120,1341,1461
2011-02-26,springer,2011,2,0,Minggu,Libur,Clear,5.277499999999998,2.6246720000000003,0.537917,0.186571,424,1545,1969
2011-02-27,springer,2011,2,0,Senin,Libur,Clear,8.143466,7.173193999999999,0.68,0.125248,694,1708,2402
2011-02-28,springer,2011,2,0,Selasa,Kerja,Mist + Cloudy,11.141831,10.407787999999996,0.876364,0.289686,81,1365,1446
2011-03-01,springer,2011,3,0,Rabu,Kerja,Clear,4.533348999999999,1.416013999999997,0.535,0.216425,137,1714,1851
2011-03-02,springer,2011,3,0,Kamis,Kerja,Clear,7.745000000000001,5.1246860000000005,0.449583,0.307833,231,1903,2134
2011-03-03,springer,2011,3,0,Jumat,Kerja,Clear,1.321651000000001,-2.7912219999999994,0.318333,0.225754,123,1562,1685
2011-03-04,springer,2011,3,0,Sabtu,Kerja,Mist + Cloudy,4.298349,0.8748140000000006,0.610417,0.203346,214,1730,1944
2011-03-05,springer,2011,3,0,Minggu,Libur,Mist + Cloudy,10.055848999999998,8.999413999999998,0.789167,0.251871,640,1437,2077
2011-03-06,springer,2011,3,0,Senin,Libur,Mist + Cloudy,9.696534,8.172632,0.948261,0.343287,114,491,605
2011-03-07,springer,2011,3,0,Selasa,Kerja,Clear,4.3017330000000005,-0.26157399999999953,0.551304,0.341352,244,1628,1872
2011-03-08,springer,2011,3,0,Rabu,Kerja,Clear,5.747499999999999,3.958400000000001,0.420833,0.12065,316,1817,2133
2011-03-09,springer,2011,3,0,Kamis,Kerja,Mist + Cloudy,5.904151000000001,2.916127999999997,0.775417,0.22015,191,1700,1891
2011-03-10,springer,2011,3,0,Jumat,Kerja,Light Snow / Light Rain,10.287277,9.454088000000002,0.0,0.261877,46,577,623
2011-03-11,springer,2011,3,0,Sabtu,Kerja,Mist + Cloudy,6.876534000000001,4.129999999999999,0.649565,0.23297,247,1730,1977
2011-03-12,springer,2011,3,0,Minggu,Libur,Clear,7.470848999999999,5.499499999999998,0.594583,0.220775,724,1408,2132
2011-03-13,springer,2011,3,0,Senin,Libur,Clear,10.064356,9.086006000000001,0.527391,0.270604,982,1435,2417
2011-03-14,springer,2011,3,0,Selasa,Kerja,Clear,7.285198999999999,5.912000000000003,0.496957,0.136926,359,1687,2046
2011-03-15,springer,2011,3,0,Rabu,Kerja,Mist + Cloudy,6.917376999999998,4.999748,0.655652,0.184309,289,1767,2056
2011-03-16,springer,2011,3,0,Kamis,Kerja,Mist + Cloudy,9.165199000000001,8.217379999999999,0.776522,0.203117,321,1871,2192
2011-03-17,springer,2011,3,0,Jumat,Kerja,Clear,11.504999999999999,11.081978,0.602917,0.209579,424,2320,2744
2011-03-18,springer,2011,3,0,Sabtu,Kerja,Clear,17.380000000000003,18.782593999999996,0.525217,0.231017,884,2355,3239
2011-03-19,springer,2011,3,0,Minggu,Libur,Clear,14.2075,14.790650000000003,0.379167,0.368167,1424,1693,3117
2011-03-20,springer,2011,3,0,Senin,Libur,Clear,7.627500000000001,5.499499999999998,0.47375,0.207721,1047,1424,2471
